NoCurso	Curso	Docente	Clave Oficial	Matricula	Alumno	Calificacion	Edo Eval	Edo Al	Tipo Eval	Fecha Registro	Tipo Entrega	Registró Acta	Grupo	Turno	Modalidad	Periodo	Programa	Creditos	Nombre Ofical	Plan Estudio Periodo	Numero Periodo	Etapa Formativa	Tipo Asignatura	Orden	Estado Evaluacion	Periodo Actual	Estado Alumno	Campus	Bloque	Tipo Evaluacion	F.Carga Aca
16345	INVESTIGACIÓN I	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-203676	MRIX190593	MAURICIO ISABELA ECHEVERRÍA TOLEDO	8.8	NA	AC	ORD	11/01/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	49IIS253	Matutino	PRESENCIAL	04/25/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	INVESTIGACIÓN I	CUATRIMESTRE 8	9	BÁSICA	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 5	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	05/25/2024
15649	ADMINISTRACIÓN INDUSTRIAL	SANTOS LUNA GERARDO	INIM-202329	MRIX231934	MARISOL QUINTANILLA VELÁSQUEZ	9.2	A	RE	EXT	06/27/2024	ORDINARIA	SANTOS LUNA GERARDO	99IIS956	Matutino	VIRTUAL	12/14/2023	INGENIERÍA EN SISTEMAS	5	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 6	2	BÁSICA	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 9	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	02/03/2024
16188	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-207904	MRIX222380	ALVARO ROLÓN	7.9	A	EG	EXT	08/13/2025	ORDINARIA	SANTOS LUNA GERARDO	29IIS512	Vespertino	PRESENCIAL	05/27/2024	INGENIERÍA MECÁNICA	7	SIMULACIÓN	CUATRIMESTRE 5	2	BÁSICA	OPTATIVA	1	NO ACREDITADA	CUATRIMESTRE 10	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	08/13/2024
15817	CREATIVIDAD E INNOVACIÓN	SANTOS LUNA GERARDO	INIM-201020	MRIX215128	ALONSO IBARRA MATA	8.4	NA	AC	ORD	02/06/2024	ORDINARIA	SANTOS LUNA GERARDO	24IIS222	Matutino	SEMIPRESENCIAL	10/15/2024	INGENIERÍA EN SISTEMAS	6	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 2	3	PROFESIONAL	OPTATIVA	0	NO ACREDITADA	CUATRIMESTRE 5	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	01/09/2024
16415	MATEMÁTICAS APLICADAS	RODRIGUEZ GARCIA MARTHA MARIA	INIM-209695	MRIX226547	ESTELA ÚRSULA BERRÍOS	7.5	A	EG	EXT	08/30/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	75IIS262	Vespertino	VIRTUAL	02/27/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	7	MATEMÁTICAS APLICADAS	CUATRIMESTRE 1	10	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 1	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	02/04/2024
16575	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-203202	MRIX210791	MARIANO VALVERDE JAIMES	9.2	A	RE	EXT	09/24/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	06IIS146	Vespertino	VIRTUAL	10/03/2024	INGENIERÍA EN SISTEMAS	7	INVESTIGACIÓN I	CUATRIMESTRE 7	6	TERMINAL	OBLIGATORIA	2	NO ACREDITADA	CUATRIMESTRE 5	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	05/16/2024
16174	CREATIVIDAD E INNOVACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-200923	MRIX213155	ISAAC SANTIAGO OLIVÁREZ ROQUE	7.1	A	RE	ORD	08/28/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	53IIS228	Matutino	PRESENCIAL	08/25/2024	INGENIERÍA EN SISTEMAS	10	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 7	7	TERMINAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	03/28/2024
16654	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-203895	MRIX236314	NAYELI TORO	9.6	NA	AC	EXT	12/12/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	08IIS289	Matutino	SEMIPRESENCIAL	01/31/2024	INGENIERÍA EN SISTEMAS	7	INVESTIGACIÓN I	CUATRIMESTRE 2	10	PROFESIONAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 4	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	09/06/2024
15167	MATEMÁTICAS APLICADAS	CORAZA SEGARRA DANIEL ARMANDO	INIM-205157	MRIX224980	GERMÁN SAMANIEGO ARREOLA	7.8	NA	EG	EXT	07/27/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	61IIS404	Matutino	PRESENCIAL	06/07/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	MATEMÁTICAS APLICADAS	CUATRIMESTRE 9	9	PROFESIONAL	OBLIGATORIA	1	NO ACREDITADA	CUATRIMESTRE 1	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	01/15/2024
16094	SIMULACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-203094	MRIX228153	ARMANDO DÍAZ ALFARO	9	NA	AC	EXT	01/24/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	91IIS563	Matutino	PRESENCIAL	03/11/2024	INGENIERÍA EN SISTEMAS	7	SIMULACIÓN	CUATRIMESTRE 6	7	PROFESIONAL	OBLIGATORIA	2	NO ACREDITADA	CUATRIMESTRE 5	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	06/21/2024
