NoCurso	Curso	Docente	Clave Oficial	Matricula	Alumno	Calificacion	Edo Eval	Edo Al	Tipo Eval	Fecha Registro	Tipo Entrega	Registró Acta	Grupo	Turno	Modalidad	Periodo	Programa	Creditos	Nombre Ofical	Plan Estudio Periodo	Numero Periodo	Etapa Formativa	Tipo Asignatura	Orden	Estado Evaluacion	Periodo Actual	Estado Alumno	Campus	Bloque	Tipo Evaluacion	F.Carga Aca
15000	INVESTIGACIÓN I	RODRIGUEZ GARCIA MARTHA MARIA	INIM-200106	MRIX199528	LAURA CRUZ RAMÍREZ	8.9	A	EG	ORD	07/08/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	98IIS925	Vespertino	PRESENCIAL	03/27/2024	INGENIERÍA MECÁNICA	6	INVESTIGACIÓN I	CUATRIMESTRE 3	9	BÁSICA	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 7	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	07/23/2024
15001	ADMINISTRACIÓN INDUSTRIAL	SANTOS LUNA GERARDO	INIM-201139	MRIX196817	ARMANDO ORTIZ PÉREZ	8.4	A	EG	ORD	01/10/2025	ORDINARIA	SANTOS LUNA GERARDO	06IIS777	Vespertino	SEMIPRESENCIAL	08/23/2024	INGENIERÍA EN SISTEMAS	10	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 4	2	PROFESIONAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 5	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	01/29/2024
15002	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-200916	MRIX213257	ROSA SALAZAR TORO	6.6	NA	AC	ORD	03/25/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	30IIS941	Matutino	SEMIPRESENCIAL	07/06/2024	INGENIERÍA EN SISTEMAS	6	INVESTIGACIÓN I	CUATRIMESTRE 1	8	PROFESIONAL	OBLIGATORIA	1	NO ACREDITADA	CUATRIMESTRE 6	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	10/26/2024
15003	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-208348	MRIX208772	RAÚL TOLEDO CASTILLO	9.0	A	EG	EXT	03/25/2024	ORDINARIA	SANTOS LUNA GERARDO	64IIS193	Vespertino	PRESENCIAL	01/11/2025	INGENIERÍA MECÁNICA	10	INVESTIGACIÓN I	CUATRIMESTRE 1	10	PROFESIONAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 2	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	10/11/2023
15004	ADMINISTRACIÓN INDUSTRIAL	CORAZA SEGARRA DANIEL ARMANDO	INIM-204315	MRIX228261	OSCAR GONZÁLEZ GUZMÁN	9.7	A	RE	EXT	07/18/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	65IIS880	Matutino	SEMIPRESENCIAL	11/20/2023	INGENIERÍA EN SISTEMAS	5	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 3	5	TERMINAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 9	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	01/07/2023
15005	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-208727	MRIX209430	ELENA MENDOZA ROQUE	6.7	NA	AC	ORD	09/22/2025	ORDINARIA	SANTOS LUNA GERARDO	99IIS228	Vespertino	VIRTUAL	06/25/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	SIMULACIÓN	CUATRIMESTRE 3	10	BÁSICA	OBLIGATORIA	0	NO ACREDITADA	CUATRIMESTRE 8	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	05/22/2023
15006	MATEMÁTICAS APLICADAS	CORAZA SEGARRA DANIEL ARMANDO	INIM-201163	MRIX205700	ISABEL VELÁSQUEZ ROQUE	5.3	NA	AC	ORD	03/27/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	91IIS746	Vespertino	VIRTUAL	04/16/2024	INGENIERÍA MECÁNICA	7	MATEMÁTICAS APLICADAS	CUATRIMESTRE 1	1	TERMINAL	OPTATIVA	2	NO ACREDITADA	CUATRIMESTRE 4	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	01/15/2023
15007	INVESTIGACIÓN I	RODRIGUEZ GARCIA MARTHA MARIA	INIM-206735	MRIX218546	CARLOS CORAZA MORALES	8.3	A	RE	ORD	12/26/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	60IIS984	Matutino	SEMIPRESENCIAL	06/01/2025	INGENIERÍA MECÁNICA	5	INVESTIGACIÓN I	CUATRIMESTRE 1	2	TERMINAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 2	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	05/17/2025
15008	SIMULACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-206658	MRIX237943	LAURA GÓMEZ GÓMEZ	8.3	A	EG	ORD	04/29/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	63IIS592	Matutino	VIRTUAL	07/11/2023	INGENIERÍA EN SISTEMAS	5	SIMULACIÓN	CUATRIMESTRE 4	9	PROFESIONAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 7	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	12/07/2023
15009	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-202579	MRIX229698	ANTONIO SALAZAR HERRERA	5.3	NA	EG	ORD	10/26/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	08IIS620	Vespertino	PRESENCIAL	09/03/2025	INGENIERÍA MECÁNICA	7	INVESTIGACIÓN I	CUATRIMESTRE 2	1	BÁSICA	OPTATIVA	0	NO ACREDITADA	CUATRIMESTRE 3	REGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	12/23/2025
